CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
31,0,4,4,39,low
49,0,3,3,55,low
46,0,3,6,55,low
51,0,2,5,58,low
57,6,15,16,94,normal
44,0,5,4,53,low
37,0,1,4,42,low
42,4,4,5,55,low
51,0,9,7,67,low
34,0,4,7,45,low
45,0,1,1,47,low
45,0,1,3,49,low
50,0,3,0,53,low
34,0,4,4,42,low
129,22,42,1,194,heavy
144,16,49,0,209,heavy
111,28,20,3,162,normal
67,11,10,16,104,normal
65,24,7,16,112,normal
94,27,7,16,144,normal
94,20,8,7,129,normal
67,29,5,10,111,low
56,12,2,14,84,normal
57,13,3,11,84,low
129,22,42,1,194,heavy
144,16,49,0,209,heavy
111,28,20,3,162,normal
120,27,46,3,196,heavy
102,39,47,1,189,heavy
145,23,27,0,195,heavy
114,37,21,5,177,heavy
108,18,22,1,149,normal
122,28,33,1,184,heavy
114,39,30,3,186,heavy
150,36,25,1,212,heavy
107,10,49,2,168,heavy
124,24,22,0,170,heavy
77,16,39,29,161,high
15,23,30,21,89,normal
32,22,38,21,113,high
68,13,29,24,134,high
27,16,36,30,109,normal
76,7,11,15,109,normal
41,23,20,17,101,normal
33,10,3,29,75,normal
58,8,14,29,109,normal
65,7,11,26,109,normal
47,9,6,29,91,normal
38,10,5,25,78,normal
57,8,12,29,106,normal
20,6,4,20,50,normal
24,9,14,23,70,normal
52,10,13,21,96,normal
79,15,36,18,148,high
84,24,22,18,148,normal
59,19,35,16,129,high
88,26,31,19,164,high
24,11,32,13,80,normal
110,17,23,20,170,heavy
29,26,5,6,66,low
43,26,11,20,100,normal
68,28,9,15,120,normal
108,16,8,18,150,normal
101,26,8,14,149,normal
141,31,36,6,214,heavy
120,25,28,5,178,heavy
137,23,44,5,209,heavy
124,11,30,7,172,heavy
145,25,49,7,226,heavy
122,37,23,8,190,heavy
136,30,20,9,195,heavy
145,18,40,9,212,heavy
138,34,28,5,205,heavy
123,10,29,8,170,heavy
105,15,21,9,150,normal
75,22,20,11,128,normal
90,12,10,13,125,normal
102,22,20,16,160,normal
61,18,15,27,121,high
70,8,14,6,98,low
80,17,12,34,143,high
62,12,14,19,107,normal
96,5,11,13,125,normal
102,6,12,13,133,normal
91,14,15,6,126,normal
95,8,17,13,133,normal
75,15,12,21,123,high
53,21,20,10,104,normal
13,1,0,19,33,normal
10,0,1,24,35,normal
16,2,0,33,51,normal
11,1,0,29,41,normal
18,2,1,13,34,normal
15,0,1,11,27,low
14,1,0,33,48,normal
17,2,0,22,41,normal
12,2,1,17,32,normal
18,0,0,29,47,normal
16,1,0,14,31,normal
20,0,0,14,34,normal
20,1,1,30,52,normal
15,0,1,23,39,normal
16,0,1,26,43,normal
18,4,0,11,33,low
17,3,1,36,57,normal
14,4,1,10,29,low
18,2,1,25,46,normal
12,2,0,19,33,normal
11,4,0,30,45,normal
19,1,1,36,57,normal
10,4,0,36,50,normal
20,1,1,32,54,normal
15,5,1,40,61,normal
104,6,5,1,116,normal
109,25,3,8,145,normal
82,23,8,20,133,normal
81,25,1,18,125,normal
95,16,10,1,122,normal
91,24,7,6,128,normal
81,30,10,0,121,normal
125,13,26,2,166,high
125,39,49,3,216,heavy
125,34,37,1,197,heavy
125,19,25,4,173,heavy
125,15,49,0,189,heavy
125,32,50,5,212,heavy
125,38,50,1,214,heavy
125,29,29,3,186,heavy
125,31,48,4,208,heavy
125,32,50,0,207,heavy
125,31,45,0,201,heavy
125,21,20,1,167,normal
125,28,36,0,189,heavy
39,10,37,16,102,normal
89,8,12,13,122,normal
51,16,16,13,96,normal
17,9,18,28,72,normal
48,25,36,21,130,high
93,7,30,16,146,high
55,15,36,15,121,high
51,10,8,22,91,normal
51,7,3,24,85,normal
51,9,7,30,97,normal
51,7,14,20,92,normal
51,10,14,20,95,normal
51,10,6,22,89,normal
51,8,11,22,92,normal
51,6,10,26,93,normal
51,7,7,27,92,normal
104,17,25,20,166,normal
6,28,27,14,75,normal
54,29,37,9,129,high
43,13,30,20,106,normal
60,21,26,11,118,high
101,23,8,20,152,normal
62,26,19,11,118,normal
39,24,13,11,87,low
90,20,35,7,152,high
109,30,22,20,181,heavy
68,26,25,20,139,normal
142,22,37,6,207,heavy
113,14,20,5,152,normal
142,13,37,8,200,heavy
108,23,26,9,166,high
122,29,30,7,188,heavy
133,12,30,7,182,heavy
118,23,38,10,189,heavy
121,35,26,8,190,heavy
116,23,20,8,167,normal
132,12,27,8,179,heavy
144,17,33,7,201,heavy
103,21,11,11,146,normal
107,15,10,15,147,normal
50,10,10,17,87,normal
108,15,10,6,139,normal
108,24,15,29,176,heavy
101,6,15,13,135,normal
55,17,12,19,103,normal
77,7,20,16,120,normal
91,12,19,8,130,normal
95,25,17,29,166,high
78,17,17,27,139,high
98,16,16,21,151,high
86,13,11,35,145,high
18,4,0,16,38,normal
18,5,0,12,35,low
18,2,1,25,46,normal
18,1,0,17,36,normal
18,5,0,21,44,normal
18,0,1,12,31,low
18,3,1,28,50,normal
18,4,1,40,63,normal
18,1,1,39,59,normal
18,4,0,30,52,normal
18,5,1,13,37,normal
18,2,0,37,57,normal
18,0,0,13,31,normal
