CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
137,14,41,10,202,heavy
122,21,20,10,173,heavy
104,19,39,9,171,heavy
147,21,40,9,217,heavy
105,38,34,7,184,heavy
124,23,46,5,198,heavy
135,18,20,5,178,heavy
107,35,23,8,173,heavy
109,21,24,10,164,normal
136,32,26,8,202,heavy
134,23,49,8,214,heavy
90,20,11,25,146,high
104,5,16,16,141,normal
60,21,13,6,100,low
104,22,11,13,150,normal
54,23,10,25,112,high
68,6,15,34,123,high
88,13,19,19,139,normal
64,22,16,16,118,normal
58,24,14,24,120,high
67,19,12,9,107,low
73,20,18,7,118,normal
109,25,16,20,170,heavy
63,15,11,23,112,high
19,4,1,26,50,normal
15,1,0,34,50,normal
15,5,1,14,35,normal
19,3,1,33,56,normal
18,4,0,11,33,low
14,1,0,27,42,normal
19,0,0,37,56,normal
19,0,0,29,48,normal
18,1,0,30,49,normal
19,3,0,18,40,normal
15,2,1,34,52,normal
17,0,1,14,32,normal
12,0,0,33,45,normal
20,0,1,20,41,normal
10,2,0,18,30,normal
13,3,0,31,47,normal
10,0,1,38,49,normal
19,1,1,28,49,normal
19,4,0,16,39,normal
16,1,0,15,32,normal
17,1,0,34,52,normal
19,1,0,21,41,normal
10,1,0,39,50,normal
16,4,0,15,35,normal
13,0,0,16,29,normal
98,5,1,17,121,normal
65,10,3,8,86,low
98,17,0,20,135,normal
60,20,5,6,91,low
110,18,10,11,149,normal
70,13,4,13,100,normal
96,12,7,17,132,normal
129,31,36,1,197,heavy
146,28,47,3,224,heavy
137,23,27,0,187,heavy
131,28,24,0,183,heavy
134,10,44,0,188,heavy
109,25,24,0,158,normal
108,35,22,3,168,heavy
146,14,37,2,199,heavy
147,21,41,5,214,heavy
110,34,35,0,179,heavy
110,40,50,2,202,heavy
123,12,22,3,160,normal
145,25,20,5,195,heavy
82,15,16,29,142,high
62,2,7,22,93,normal
92,8,11,21,132,high
35,22,22,18,97,normal
66,25,13,13,117,normal
50,2,25,12,89,normal
50,22,24,7,103,normal
50,8,5,24,87,normal
55,5,5,21,86,normal
51,10,14,24,99,normal
34,8,14,21,77,normal
25,7,5,20,57,normal
59,7,9,21,96,normal
38,10,9,24,81,normal
70,10,9,23,112,high
63,8,13,22,106,normal
6,24,12,13,55,normal
108,17,16,16,157,normal
41,20,32,12,105,normal
54,10,20,9,93,normal
60,19,14,7,100,low
102,11,9,11,133,normal
50,24,30,5,109,normal
25,24,19,10,78,normal
90,25,18,20,153,normal
86,13,27,11,137,high
44,19,17,9,89,normal
126,24,35,8,193,heavy
146,26,42,9,223,normal
117,28,33,10,188,heavy
144,36,49,10,239,heavy
137,19,23,9,188,heavy
118,19,48,5,190,heavy
119,27,28,8,182,heavy
149,26,43,5,223,normal
117,34,36,10,197,heavy
124,30,44,10,208,heavy
141,36,48,5,230,heavy
78,6,11,28,123,high
102,23,16,24,165,high
104,18,18,23,163,high
95,9,19,7,130,normal
105,13,12,20,150,normal
100,18,16,34,168,heavy
80,14,20,15,129,normal
86,8,19,7,120,normal
108,20,14,15,157,normal
69,13,13,8,103,low
64,14,10,6,94,low
71,14,17,10,112,normal
61,9,18,24,112,high
11,4,0,31,46,normal
17,5,0,14,36,normal
15,5,0,18,38,normal
14,2,0,40,56,normal
12,2,1,28,43,normal
18,0,1,40,59,normal
14,5,0,13,32,normal
18,1,0,26,45,normal
14,0,0,34,48,normal
17,5,0,23,45,normal
19,1,1,18,39,normal
15,5,1,12,33,low
13,2,1,26,42,normal
15,3,0,32,50,normal
15,0,1,13,29,normal
18,5,1,12,36,low
17,1,0,29,47,normal
10,4,0,19,33,normal
15,0,0,18,33,normal
11,0,0,35,46,normal
20,5,1,34,60,normal
15,5,1,32,53,normal
16,4,1,37,58,normal
14,1,0,12,27,low
16,4,0,18,38,normal
56,21,3,0,80,low
78,11,10,18,117,normal
82,29,0,20,131,normal
102,15,2,7,126,normal
69,14,6,18,107,normal
87,24,6,19,136,normal
84,16,10,5,115,normal
109,38,34,5,186,heavy
147,38,23,3,211,heavy
135,19,48,5,207,heavy
101,23,41,5,170,heavy
138,21,28,1,188,heavy
136,20,32,1,189,heavy
123,19,25,5,172,heavy
108,30,46,5,189,heavy
128,15,43,5,191,heavy
129,37,41,1,208,heavy
127,18,28,3,176,heavy
142,37,46,3,228,heavy
149,26,46,1,222,heavy
77,13,7,23,120,high
37,16,13,29,95,normal
79,8,16,12,115,normal
97,2,16,7,122,normal
22,8,31,8,69,normal
31,23,19,12,85,normal
49,22,16,5,92,normal
32,5,3,21,61,normal
40,6,11,28,85,normal
42,6,10,21,79,normal
37,9,7,25,78,normal
45,5,5,24,79,normal
64,10,4,28,106,normal
33,8,6,23,70,normal
34,6,12,27,79,normal
40,9,5,20,74,normal
64,19,22,12,117,normal
108,24,34,7,173,heavy
108,17,33,7,165,high
50,23,21,11,105,normal
16,21,10,16,63,normal
91,22,34,8,155,high
89,19,37,18,163,high
108,12,23,8,151,normal
73,29,23,7,132,normal
76,28,39,14,157,high
19,15,20,17,71,normal
102,37,48,9,196,heavy
115,36,41,8,200,heavy
142,23,23,6,194,heavy
134,15,29,8,186,heavy
146,18,49,9,222,heavy
126,24,48,9,207,heavy
138,18,27,6,189,heavy
129,13,43,6,191,heavy
127,35,23,10,195,heavy
144,20,22,7,193,heavy
117,19,31,7,174,heavy
87,10,13,16,126,normal
87,6,18,30,141,high
97,18,10,24,149,high
71,21,14,12,118,normal
96,24,18,10,148,normal
90,7,17,31,145,high
74,6,12,34,126,high
59,7,15,20,101,normal
87,11,16,28,142,high
62,22,20,20,124,normal
71,16,14,9,110,low
98,9,15,18,140,normal
93,8,10,16,127,normal
17,4,0,36,57,normal
16,1,1,29,47,normal
15,2,0,10,27,low
10,3,1,23,37,normal
12,4,0,31,47,normal
20,1,1,24,46,normal
11,0,1,23,35,normal
14,1,1,17,33,normal
12,5,1,38,56,normal
15,4,1,29,49,normal
12,4,0,40,56,normal
11,5,0,22,38,normal
14,5,1,21,41,normal
14,3,0,39,56,normal
10,4,1,11,26,low
11,0,0,16,27,normal
12,3,0,39,54,normal
11,0,1,36,48,normal
16,2,0,35,53,normal
17,3,1,36,57,normal
13,1,1,13,28,normal
14,5,0,19,38,normal
17,5,1,15,38,normal
19,3,0,13,35,normal
19,3,1,12,35,low
54,15,10,8,87,low
107,0,1,2,110,low
116,20,5,14,155,normal
78,2,4,9,93,low
111,22,0,12,145,normal
85,27,7,17,136,normal
95,5,9,20,129,normal
143,33,27,1,204,heavy
133,40,37,0,210,heavy
123,37,34,4,198,heavy
133,34,36,1,204,heavy
101,20,42,4,167,normal
145,10,37,0,192,heavy
141,39,40,5,225,heavy
134,12,22,2,170,heavy
126,10,26,4,166,high
136,22,31,0,189,heavy
128,26,42,4,200,heavy
106,12,28,4,150,high
140,27,36,2,205,heavy
40,20,37,28,125,high
13,25,33,12,83,normal
18,22,26,10,76,normal
59,5,36,12,112,high
48,9,30,14,101,normal
77,23,14,20,134,normal
17,13,13,27,70,normal
36,5,14,25,80,normal
60,10,3,28,101,normal
34,5,4,29,72,normal
63,5,6,20,94,normal
48,10,13,23,94,normal
44,5,5,21,75,normal
62,5,14,23,104,normal
38,8,15,27,88,normal
26,6,9,29,70,normal
78,23,16,13,130,normal
116,21,22,17,176,heavy
94,13,11,16,134,normal
52,19,26,10,107,normal
70,13,12,10,105,low
34,17,21,14,86,normal
16,18,40,6,80,normal
24,20,15,17,76,normal
21,15,33,12,81,normal
100,10,18,7,135,normal
117,22,11,5,155,normal
145,30,40,8,223,normal
113,38,45,7,203,heavy
110,31,37,7,185,heavy
126,15,26,6,173,heavy
100,15,29,7,151,high
